0,Acinetobacter NCIB 9871 was isolated by elective culture on cyclohexanol and grows with this compound as sole source of carbon.
1,"It displays a restricted growth spectrum, being unable to grow on a wide range of alternative alicyclic alcohols and ketones."
2,Cyclohexanol-grown cells oxidize the growth substrate at a rate of 230 mul of O2/h per mg dry wt with the consumption of 5.65 mumol of O2/mumol substrate.
3,Cyclohexanone is oxidized at a similar rate with the consumption of 4.85 mumol of O2/mumol.
4,1-Oxa-2-oxocycloheptane and 6-hydroxyhexanoate are both oxidized at the same slow rate of 44 mul of O2/h per mg dry wt and adipate is not oxidized.
5,"Studies with cell extracts reveal the presence of inducible dehydrogenases for cyclohexanol, 6-hydroxyhexanoate and 6-oxohexanoate and a monooxygenase, that in conjunction with a lactonase converts cyclohexanone to 6-hydroxyhexanoate."
6,"The monooxygenase is therefore presumed to be of the lactone-forming type and the pathway for conversion of cyclohexanol to adipate; cyclohexanol leads to cyclohexanone leads to 1-oxa-2-oxocycloheptane leads to 6-hydroxyhexanoate leads to 6-oxohexanoate leads to adipate; for which key intermediates have been identified chromatographically, is identical with the route for the oxidation of cyclohexanol by Nocardia globerula CL1.A mixed bacterial culture, consisting of a minimum of nine isolates, was adapted to growth on technical parathion (PAR) as a sole carbon and energy source."
7,The primary oxidative pathway for PAR metabolism involved an initial hydrolysis to yield diethylthiophosphoric acid and p-nitrophenol.
8,A secondary oxidative pathway involved the oxidation of PAR to paraoxon and then hydrolysis to yield p-nitrophenol and diethylphosphoric acid.
9,Under low oxgen conditions PAR was reduced via a third pathway to p-aminoparathion and subsequently hydrolyzed to p-aminophenol and diethylthiophosphoric acid.
10,"PAR hydrolase, an enzyme produced by an isolate from the mixed culture, rapidly hydrolyzed PAR and paraoxon (6.0 mumol/mg per min)."
11,This enzyme was inducible and stable at room temperature and retained 100% of its activity when heated for 55 C for 10 min.Cyclohexylamine oxidase was purified 90-fold from cell-free extracts of Pseudomonas sp.
12,capable of assimilating sodium cyclamate.
13,"The purified enzyme was homogeneous in disc electrophoresis, and the molecular weight was found to be approximately 80,000 by gel filtration."
14,The enzyme catalyzed the following reaction: cyclohexylamine+O2+H2O leads to cyclohexanone+NH3+H2O2.
15,The enzyme thus can be classified as an amine oxidase; it utilized oxygen as the ultimate electron acceptor.
16,"The pH optimum of the reaction was 6.8 and the apparent Km value for cyclohexylamine was 2.5 X 10(-4) M. The enzyme was highly specific for the deamination of alicyclic primary amines such as cyclohexylamine, but was found to be inactive toward ordinary amines used as substrates for amine oxidases."
17,The enzyme solution was yellow in color and showed a typical flavoprotein spectrum; the addition of cyclohexylamine under anaerobic conditions caused reduction of the flavin in the native enzyme.
18,The flavin of the prosthetic group was identified as FAD by thin layer chromatography.
19,"The participation of sulfhydryl groups in the enzymic action was also suggested by the observation that the enzyme activity was inhibited in the presence of PCMB and could be recovered by the addition of glutathione.Phthalate is degraded through 4,5-dihydroxyphthalate and protocatechuate in Pseudomonas testosteroni NH1000."
20,"The ezyme 4,5-dihydroxyphthalate decarboxylase, catalyzing the conversion of 4,5-dihydroxyphthalate to protocatechuate and carbon dioxide, was purified approximately 130-fold from phthalate-induced cells of a protocatechuate 4,5-dioxygenase-deficient mutant of P. testosteroni."
21,"The most purified preparation showed a single protein band on sodium dodecyl sulfate-acrylamide disc gel electrophoresis with a molecular weight of 38,000."
22,"The apparent molecular weight of the native enzyme determined by Sephadex G-200 column chromatography was 150,000."
23,"Among the substrate analogs tested, only 4-hydroxyphthalate served as a substrate, which was decarboxylated to form m-hydroxybenzoate."
24,"The apparent Km values for 4,5-dihydroxyphthalate and 4-hydroxyphthalate were estimated to be 10.5 micrometer and 1.25 mM, respectively, and the Vmax for the former was 10 times larger than that for the latter."
25,"Whereas the wild-type strain could utilize 4-hydroxyphthalate as a sole source of carbon, none of the following could grow with the compound: 4,5-dihydroxyphthalate decarboxylase-deficient, m-hydroxybenzoate-nondegradable, and protocatechuate 4,5-dioxygenase-deficient mutants."
26,"Since one-step revertants of these mutants could utilize 4-hydroxyphthalate, the compound appears to be metabolized through m-hydroxybenzoate and protocatechuate in P. testosteroni NH1000.A strain of Pseudomonas putida that can utilize naphthalene as its sole source of carbon and energy was isolated from soil."
27,"A mutant strain of this organism, P. putida 119, when grown on glucose in the presence of naphthalene, accumulates optically pure (+)-cis-1(R),2(S)-dihydroxy-1,2-dihydronaphthalene in the culture medium."
28,The cis relative stereochemistry in this molecule was established by nuclear magnetic resonance spectrometry.
29,"Radiochemical trapping experiments established that this cis dihydrodiol is an intermediate in the metabolism of naphthalene by P. Fluorescens (formerly ATCC, 17483), P. putida (ATCC, 17484), and a Pseudomonas species (NCIB 9816), as well as the parent strain of P. putida described in this report."
30,Formation of the cis dihydrodiol is catalyzed by a dioxygenase which requires either NADH or NADPH as an electron donor.
31,A double label procedure is described for determining the origin of oxygen in the cis dihydrodiol under conditions where this metabolite would not normally accumulate.
32,Several aromatic hydrocarbons are oxidized by cell extracts prepared from naphthalene-grown cells of P. putida.
33,"The cis dihydrodiol is converted to 1,2-dihydroxynaphthalene by an NAD+-dependent dehydrogenase."
34,This enzyme is specific for the (+) isomer of the dihydrodiol and shows a primary isotope effect when the dihydrodiol is substituted at C-2 with deuterium.The mutagenicity of 17 aliphatic epoxides was determined using the specially constructed mutants of Salmonella typhimurium developed by Ames.
35,The activity of these epoxides together with those reported in the literature as mutagens in strains TA100 and TA1535 depended on the degree of substitution around the oxirane ring.
36,Monosubstituted oxiranes were the most potent mutagens in both strains.
37,"1,1-Disubstitution resulted in the complete loss or reduction of mutagenicity, trans-1,2-Disubstituted, and tetrasubstituted oxiranes all lacked mutagenicity, while the cis-1,2-disubstituted oxiranes tested were weakly mutagenic in strain TA100 only."
38,For the monosubstituted compounds the presence of electron-withdrawing substituents increased mutagenicity.Pseudomonas sp.
39,N.C.I.B.
40,"9816 strain 11, when grown on salicylate in the presence of dibenzodioxan, accumulated cis-1,2-dihydroxy-1,2-dihydrodibenzodioxan and 2-hydroxydibenzodioxan in the culture medium."
41,Each metabolite was isolated in crystalline form and identified by a variety of conventional chemical techniques.
42,"Crude cell extracts prepared from the parental strain grown with naphthalene oxidized cis-1,2-dihydroxy-1,2-dihydrodibenzodioxan under both aerobic and anaerobic conditions to 1,2-dihydroxydibenzodioxan."
43,"Further degradation of this metabolite was not detected.An analytical procedure for the separation, detection, and identification of some of the compounds produced by a cell preparation of the fungus Candida humicola from 74As-arsenate, -methylarsonate, and -dimethylarsinate has been devised and tested."
44,"It has been possible to detect five distinct 74As-containing compounds following the incubation of 74As-arsenate with a broken cell homogenate, three of which have been identified as arsenite, methylarsonate, and dimethylarsinate."
45,"With methylarsonate as substrate, dimethylarsinate and trimethylarsine oxide are produced."
46,Products from dimethylarsinate include methylarsonate and trimethylarsine oxide as well as an unknown species.
