Sentence #	Word	POS	Tag
1	acinetobacter	NN	O
1	ncib	NN	O
1	9871	CD	O
1	was	VBD	O
1	isolated	JJ	O
1	by	IN	O
1	elective	JJ	O
1	culture	NN	O
1	on	IN	O
1	cyclohexanol	NN	O
1	and	CC	O
1	grows	NNS	O
1	with	IN	O
1	this	DT	O
1	compound	NN	O
1	as	IN	O
1	sole	NN	O
1	source	NN	O
1	of	IN	O
1	carbon	NN	O
1	.	.	O
2	it	PRP	O
2	displays	NNS	O
2	a	DT	O
2	restricted	VBN	O
2	growth	NN	O
2	spectrum	NN	O
2	being	VBG	O
2	unable	JJ	O
2	to	TO	O
2	grow	NN	O
2	on	IN	O
2	a	DT	O
2	wide	JJ	O
2	range	NN	O
2	of	IN	O
2	alternative	NN	O
2	alicyclic	NN	O
2	alcohols	NNS	O
2	and	CC	O
2	ketones	NNS	O
2	.	.	O
3	cyclohexanol-grown	JJ	O
3	cells	NNS	O
3	oxidize	VB	O
3	the	DT	O
3	growth	NN	O
3	substrate	NN	O
3	at	IN	O
3	a	DT	O
3	rate	NN	O
3	of	IN	O
3	230	CD	O
3	mul	NN	O
3	of	IN	O
3	o2/h	NN	O
3	per	IN	O
3	mg	NN	O
3	dry	NN	O
3	wt	NN	O
3	with	IN	O
3	the	DT	O
3	consumption	NN	O
3	of	IN	O
3	5.65	CD	O
3	mumol	NN	O
3	of	IN	O
3	o2/mumol	NN	O
3	substrate	NN	O
3	.	.	O
4	cyclohexanone	NN	O
4	is	VBZ	O
4	oxidized	VBN	O
4	at	IN	O
4	a	DT	O
4	similar	JJ	O
4	rate	NN	O
4	with	IN	O
4	the	DT	O
4	consumption	NN	O
4	of	IN	O
4	4.85	CD	O
4	mumol	NN	O
4	of	IN	O
4	o2/mumol	NN	O
4	.	.	O
5	1-oxa-2-oxocycloheptane	JJ	O
5	and	CC	O
5	6-hydroxyhexanoate	JJ	O
5	are	VBP	O
5	both	DT	O
5	oxidized	VBN	O
5	at	IN	O
5	the	DT	O
5	same	JJ	O
5	slow	VB	O
5	rate	NN	O
5	of	IN	O
5	44	CD	O
5	mul	NN	O
5	of	IN	O
5	o2/h	NN	O
5	per	IN	O
5	mg	NN	O
5	dry	NN	O
5	wt	NN	O
5	and	CC	O
5	adipate	NN	O
5	is	VBZ	O
5	not	RB	O
5	oxidized	VBN	O
5	.	.	O
6	studies	NNS	O
6	with	IN	O
6	cell	NN	O
6	extracts	NNS	O
6	reveal	NN	O
6	the	DT	O
6	presence	NN	O
6	of	IN	O
6	inducible	JJ	O
6	dehydrogenases	NNS	O
6	for	IN	O
6	cyclohexanol	NN	O
6	6-hydroxyhexanoate	JJ	O
6	and	CC	O
6	6-oxohexanoate	JJ	O
6	and	CC	O
6	a	DT	O
6	monooxygenase	NN	B-ENZ
6	that	IN	O
6	in	IN	O
6	conjunction	NN	O
6	with	IN	O
6	a	DT	O
6	lactonase	NN	O
6	converts	NNS	O
6	cyclohexanone	NN	O
6	to	TO	O
6	6-hydroxyhexanoate	JJ	O
6	.	.	O
7	the	DT	O
7	monooxygenase	NN	B-ENZ
7	is	VBZ	O
7	therefore	RB	O
7	presumed	VBN	O
7	to	TO	O
7	be	VB	O
7	of	IN	O
7	the	DT	O
7	lactone-forming	NN	O
7	type	NN	O
7	and	CC	O
7	the	DT	O
7	pathway	NN	O
7	for	IN	O
7	conversion	NN	O
7	of	IN	O
7	cyclohexanol	NN	O
7	to	TO	O
7	adipate	NN	O
7	;	:	O
7	cyclohexanol	NN	O
7	leads	NNS	O
7	to	TO	O
7	cyclohexanone	NN	O
7	leads	NNS	O
7	to	TO	O
7	1-oxa-2-oxocycloheptane	JJ	O
7	leads	NNS	O
7	to	TO	O
7	6-hydroxyhexanoate	JJ	O
7	leads	NNS	O
7	to	TO	O
7	6-oxohexanoate	JJ	O
7	leads	NNS	O
7	to	TO	O
7	adipate	NN	O
7	;	:	O
7	for	IN	O
7	which	WDT	O
7	key	NN	O
7	intermediates	NNS	O
7	have	VB	O
7	been	VBN	O
7	identified	VBN	O
7	chromatographically	RB	O
7	is	VBZ	O
7	identical	JJ	O
7	with	IN	O
7	the	DT	O
7	route	NN	O
7	for	IN	O
7	the	DT	O
7	oxidation	NN	O
7	of	IN	O
7	cyclohexanol	NN	O
7	by	IN	O
7	nocardia	NNP	O
7	globerula	NN	O
7	cl1.a	NN	O
7	mixed	JJ	O
7	bacterial	NN	O
7	culture	NN	O
7	consisting	VBG	O
7	of	IN	O
7	a	DT	O
7	minimum	NN	O
7	of	IN	O
7	nine	CD	O
7	isolates	NNS	O
7	was	VBD	O
7	adapted	VBN	O
7	to	TO	O
7	growth	NN	O
7	on	IN	O
7	technical	JJ	O
7	parathion	NN	O
7	(	(	O
7	par	NN	O
7	)	)	O
7	as	IN	O
7	a	DT	O
7	sole	NN	O
7	carbon	NN	O
7	and	CC	O
7	energy	NN	O
7	source	NN	O
7	.	.	O
8	the	DT	O
8	primary	NN	O
8	oxidative	JJ	O
8	pathway	NN	O
8	for	IN	O
8	par	NN	O
8	metabolism	NN	O
8	involved	VBN	O
8	an	DT	O
8	initial	JJ	O
8	hydrolysis	NN	O
8	to	TO	O
8	yield	NN	O
8	diethylthiophosphoric	NN	O
8	acid	NN	O
8	and	CC	O
8	p-nitrophenol	NN	O
8	.	.	O
9	a	DT	O
9	secondary	JJ	O
9	oxidative	JJ	O
9	pathway	NN	O
9	involved	VBN	O
9	the	DT	O
9	oxidation	NN	O
9	of	IN	O
9	par	NN	O
9	to	TO	O
9	paraoxon	NN	O
9	and	CC	O
9	then	RB	O
9	hydrolysis	NN	O
9	to	TO	O
9	yield	NN	O
9	p-nitrophenol	NN	O
9	and	CC	O
9	diethylphosphoric	NN	O
9	acid	NN	O
9	.	.	O
10	under	IN	O
10	low	JJ	O
10	oxgen	NN	O
10	conditions	NNS	O
10	par	NN	O
10	was	VBD	O
10	reduced	VBN	O
10	via	IN	O
10	a	DT	O
10	third	JJ	O
10	pathway	NN	O
10	to	TO	O
10	p-aminoparathion	NN	O
10	and	CC	O
10	subsequently	RB	O
10	hydrolyzed	VBN	O
10	to	TO	O
10	p-aminophenol	NN	O
10	and	CC	O
10	diethylthiophosphoric	NN	O
10	acid	NN	O
10	.	.	O
11	PAR	NN	B-ENZ
11	hydrolase	NN	I-ENZ
11	an	DT	O
11	enzyme	NN	O
11	produced	VBN	O
11	by	IN	O
11	an	DT	O
11	isolate	NN	O
11	from	IN	O
11	the	DT	O
11	mixed	JJ	O
11	culture	NN	O
11	rapidly	RB	O
11	hydrolyzed	VBN	O
11	par	NN	O
11	and	CC	O
11	paraoxon	NN	O
11	(	(	O
11	6	CD	O
11	mumol/mg	NN	O
11	per	IN	O
11	min	NN	O
11	)	)	O
11	.	.	O
12	this	DT	O
12	enzyme	NN	O
12	was	VBD	O
12	inducible	JJ	O
12	and	CC	O
12	stable	JJ	O
12	at	IN	O
12	room	NN	O
12	temperature	NN	O
12	and	CC	O
12	retained	VBN	O
12	100	CD	O
12	%	NN	O
12	of	IN	O
12	its	PRP$	O
12	activity	NN	O
12	when	WRB	O
12	heated	VBN	O
12	for	IN	O
12	55	CD	O
12	c	SYM	O
12	for	IN	O
12	10	CD	O
12	min.cyclohexylamine	NN	O
12	oxidase	NN	O
12	was	VBD	O
12	purified	VBN	O
12	90-fold	JJ	O
12	from	IN	O
12	cell-free	JJ	O
12	extracts	NNS	O
12	of	IN	O
12	pseudomonas	NNS	O
12	sp	NN	O
12	.	.	O
13	capable	JJ	O
13	of	IN	O
13	assimilating	VBG	O
13	sodium	NN	O
13	cyclamate	NN	O
13	.	.	O
14	the	DT	O
14	purified	VBN	O
14	enzyme	NN	O
14	was	VBD	O
14	homogeneous	JJ	O
14	in	IN	O
14	disc	NN	O
14	electrophoresis	NN	O
14	and	CC	O
14	the	DT	O
14	molecular	NN	O
14	weight	NN	O
14	was	VBD	O
14	found	NN	O
14	to	TO	O
14	be	VB	O
14	approximately	RB	O
14	by	IN	O
14	gel	NN	O
14	filtration	NN	O
14	.	.	O
15	the	DT	O
15	enzyme	NN	O
15	catalyzed	VBN	O
15	the	DT	O
15	following	VBG	O
15	reaction	NN	O
15	:	:	O
15	cyclohexylamine+o2+h2o	NN	O
15	leads	NNS	O
15	to	TO	O
15	cyclohexanone+nh3+h2o2	NN	O
15	.	.	O
16	the	DT	O
16	enzyme	NN	O
16	thus	RB	O
16	can	MD	O
16	be	VB	O
16	classified	VBN	O
16	as	IN	O
16	an	DT	O
16	amine	NN	O
16	oxidase	NN	O
16	;	:	O
16	it	PRP	O
16	utilized	JJ	O
16	oxygen	NN	O
16	as	IN	O
16	the	DT	O
16	ultimate	JJ	O
16	electron	NN	O
16	acceptor	NN	O
16	.	.	O
17	the	DT	O
17	ph	NN	O
17	optimum	NN	O
17	of	IN	O
17	the	DT	O
17	reaction	NN	O
17	was	VBD	O
17	6.8	CD	O
17	and	CC	O
17	the	DT	O
17	apparent	NN	O
17	km	NNP	O
17	value	NN	O
17	for	IN	O
17	cyclohexylamine	NN	O
17	was	VBD	O
17	2.5	CD	O
17	x	NN	O
17	10	CD	O
17	(	(	O
17	-4	NN	O
17	)	)	O
17	m.	NNP	O
17	the	DT	O
17	enzyme	NN	O
17	was	VBD	O
17	highly	RB	O
17	specific	JJ	O
17	for	IN	O
17	the	DT	O
17	deamination	NN	O
17	of	IN	O
17	alicyclic	NN	O
17	primary	NN	O
17	amines	NNS	O
17	such	JJ	O
17	as	IN	O
17	cyclohexylamine	NN	O
17	but	CC	O
17	was	VBD	O
17	found	NN	O
17	to	TO	O
17	be	VB	O
17	inactive	JJ	O
17	toward	IN	O
17	ordinary	JJ	O
17	amines	NNS	O
17	used	VBN	O
17	as	IN	O
17	substrates	NNS	O
17	for	IN	O
17	amine	NN	O
17	oxidases	NNS	O
17	.	.	O
18	the	DT	O
18	enzyme	NN	O
18	solution	NN	O
18	was	VBD	O
18	yellow	NN	O
18	in	IN	O
18	color	NN	O
18	and	CC	O
18	showed	VBD	O
18	a	DT	O
18	typical	JJ	O
18	flavoprotein	NN	O
18	spectrum	NN	O
18	;	:	O
18	the	DT	O
18	addition	NN	O
18	of	IN	O
18	cyclohexylamine	NN	O
18	under	IN	O
18	anaerobic	NN	O
18	conditions	NNS	O
18	caused	VBN	O
18	reduction	NN	O
18	of	IN	O
18	the	DT	O
18	flavin	NN	O
18	in	IN	O
18	the	DT	O
18	native	JJ	O
18	enzyme	NN	O
18	.	.	O
19	the	DT	O
19	flavin	NN	O
19	of	IN	O
19	the	DT	O
19	prosthetic	JJ	O
19	group	NN	O
19	was	VBD	O
19	identified	VBN	O
19	as	IN	O
19	fad	NN	O
19	by	IN	O
19	thin	NN	O
19	layer	NN	O
19	chromatography	NN	O
19	.	.	O
20	the	DT	O
20	participation	NN	O
