Sentence #	Word	POS	Tag
1	studies	NNS	O
1	with	IN	O
1	cell	NN	O
1	extracts	NNS	O
1	reveal	NN	O
1	the	DT	O
1	presence	NN	O
1	of	IN	O
1	inducible	JJ	O
1	dehydrogenases	NNS	O
1	for	IN	O
1	cyclohexanol	NN	O
1	6-hydroxyhexanoate	JJ	O
1	and	CC	O
1	6-oxohexanoate	JJ	O
1	and	CC	O
1	a	DT	O
1	monooxygenase	NN	B-ENZ
1	that	IN	O
1	in	IN	O
1	conjunction	NN	O
1	with	IN	O
1	a	DT	O
1	lactonase	NN	O
1	converts	NNS	O
1	cyclohexanone	NN	O
1	to	TO	O
1	6-hydroxyhexanoate	JJ	O
1	.	.	O
1	'	''	O
2	the	DT	O
2	monooxygenase	NN	B-ENZ
2	is	VBZ	O
2	therefore	RB	O
2	presumed	VBN	O
2	to	TO	O
2	be	VB	O
2	of	IN	O
2	the	DT	O
2	lactone-forming	NN	O
2	type	NN	O
2	and	CC	O
2	the	DT	O
2	pathway	NN	O
2	for	IN	O
2	conversion	NN	O
2	of	IN	O
2	cyclohexanol	NN	O
2	to	TO	O
2	adipate	NN	O
2	;	:	O
2	cyclohexanol	NN	O
2	leads	NNS	O
2	to	TO	O
2	cyclohexanone	NN	O
2	leads	NNS	O
2	to	TO	O
2	1-oxa-2-oxocycloheptane	JJ	O
2	leads	NNS	O
2	to	TO	O
2	6-hydroxyhexanoate	JJ	O
2	leads	NNS	O
2	to	TO	O
2	6-oxohexanoate	JJ	O
2	leads	NNS	O
2	to	TO	O
2	adipate	NN	O
2	;	:	O
2	for	IN	O
2	which	WDT	O
2	key	NN	O
2	intermediates	NNS	O
2	have	VB	O
2	been	VBN	O
2	identified	VBN	O
2	chromatographically	RB	O
2	is	VBZ	O
2	identical	JJ	O
2	with	IN	O
2	the	DT	O
2	route	NN	O
2	for	IN	O
2	the	DT	O
2	oxidation	NN	O
2	of	IN	O
2	cyclohexanol	NN	O
2	by	IN	O
2	nocardia	NNP	O
2	globerula	NN	O
2	cl1.a	NN	O
2	mixed	JJ	O
2	bacterial	NN	O
2	culture	NN	O
2	consisting	VBG	O
2	of	IN	O
2	a	DT	O
2	minimum	NN	O
2	of	IN	O
2	nine	CD	O
2	isolates	NNS	O
2	was	VBD	O
2	adapted	VBN	O
2	to	TO	O
2	growth	NN	O
2	on	IN	O
2	technical	JJ	O
2	parathion	NN	O
2	(	(	O
2	par	NN	O
2	)	)	O
